"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",2007,1,1,0,0,7106,0,0.00703297743833319,0.0224102160195686,0.0903898732477912,0.259118460008201,0.0313041765012432,0.0754618869776434,0.00727241555893886,0.00430716083345127,0.0027028334148296,0.271408411406843,0.0283767989817593,0.0547966184392857,0.00315459638475653,0.00149915586868242,0.000722244361000734,0.00880166729088644,0.0215276070760985,0.109712900190687,0
"2",2008,1,1,0,0,8405,0.00981478579351345,0.0214954647932944,0.00826921023051689,0,0.0218462098541218,0.0887349075636089,0.0657258240643193,0.12308809603048,0.157818071272397,0.00320743039774772,0,0.0219998568785138,0.0858693046277071,0.0671459053172673,0.146548976498998,0.152800621220263,0.00587509181180342,0.0148818863024621,0.00358421697485767,0.00129414036812682
"3",2009,1,1,0,0,7462,0.256472798565444,0.0618402737371477,0.0661996966958573,0.0498728112838422,0.0554662498279499,0.00265560219005898,0.00347837458974598,0.00370414589896181,0.000310047210991963,0,0,7.08288552116648e-05,0.253492473436122,0.0756833841626639,0.054651829595095,0.0461394055534095,0.0651562020113532,0.0015758290239345,0.00167721384252984,0.00155283351968045
"4",2010,1,1,0,0,6643,0,0.00600622267707699,0.0661925729213832,0.262070065680104,0.0937567594049656,0.0435029331891011,0.0131685318597158,0.011307633591139,0.00269926483302925,0.00129601584348491,0.000207333260127289,0.00139733260377846,0,0.00794279116049479,0.0803903495760215,0.268308078412931,0.086698218753617,0.039137205848356,0.0107062170997473,0.0052124732849271
"5",2011,1,1,0,0,8712,0,0.00220609764948016,0.109895081385674,0.119453151648468,0.225943808765106,0.0252043619483446,0.00999959233495397,0.00272055745322241,0.00358701050906041,0.000990338305690517,0.228155763316328,0.0167694660484336,0.00738062058362177,0.000924135469041509,0.00146390883549447,0.000287953831058394,0.00290037350106104,0.11516884525736,0.126948933157601,0
"6",2012,1,1,0,0,9332,0.00796228698230047,0.00278418571194513,0.00132019145462378,0,0.00851599275557319,0.00542831600708878,0.255288391930483,0.113128885500279,0.104768775161485,0.000802974496221797,0,0.00825144550263535,0.0107909235457409,0.273427734461384,0.118773121903568,0.0828578012637026,0.0036025207381562,0.00152448004749502,0.000456486143828914,0.000315486393488642
"7",2013,1,1,0,0,11075,0.00370952828844044,0.106644075477542,0.0240944472966881,0.310926965495794,0.0439069311460182,0.00876508883234568,0.0011217659875013,0.000341706992420673,0.000489490483250069,0,0.00364879078440608,0.115014907160404,0.02484407909808,0,0.0305793976874991,0.00380929035315411,0.0005080278440029,0.321373345424995,0.000139944727600007,8.22169198594283e-05
"8",2014,1,1,0,0,12122,0.000347668737966992,0,0.155912867976122,0.105900078154013,0.167328807259481,0.0616060658829176,0.000190385790294869,0.0061660040223517,0.002126634950211,0.000421487226642149,2.07333616785218e-05,0,0.000325819738389857,0.115086152033049,0.18362018395487,0.0619091357158097,0.135961876901546,0.00235870861182428,0.000647267539384907,7.0122143447798e-05
"9",2015,1,1,0,0,11185,0,0.000326216764372693,0.0228972549719687,0.225027489407804,0.199643043976619,0.0258123898458836,0.0237800654212755,0.00147546612341754,0.000795683504203232,0.000242389984455739,0,0.0181155330933633,0.0107157027052854,0.00026989236364643,0.000129979874013889,7.8782881309454e-05,0.000558734729123756,0.0234208925470357,0.245710877491543,0.200999604314679
"10",2016,1,1,0,0,9489,0.0781268009684086,0.00603676696289466,0.00663089879889549,0.000518573399955971,0,3.74196578367586e-05,0.0321668313220208,0.0969239949112684,0.279402048658361,0.000156665320358735,0,9.50082620838947e-05,0.0376578037933754,0.110789460626423,0.297006646584227,0.0506371907932114,0.00202909030396886,0.00168355256638798,7.7672732986055e-05,2.35743373360694e-05
"11",2017,1,1,0,0,8306,0.000311663827597761,0.00746826732972663,0.197112731449994,0.1835354569309,0.0987214945234506,0.0111809685087159,0.000572202379038316,0.00101937679994378,7.78382506330363e-05,0,0.000269066418812283,0.00964538429247627,0.236381240562452,1.15208155325901e-05,0.0721535138323499,0.00431464976835394,8.7356568851243e-05,0.176878585667437,2.33762282204762e-06,0.000256344450912857
"12",2018,1,1,0,0,6374,0.000189508563068708,0,0.0651900910398491,0.0192413619346481,0.071089562914143,0.33078018202052,3.34190260787511e-05,0.0110850260327224,0.00189905502693021,0.000491793442040065,0,0,0.000141723425505711,0.0301661960646641,0.101472123531529,0.330259139334652,0.0346646002277406,0.00283494438805934,0.000394563396004602,6.6709631844711e-05
"13",2019,1,1,0,0,4587,0,0.00405865183647867,0.0152177272195824,0.106858157490039,0.247951036760849,0.102472042407986,0.0185012529213042,0.00394488732270636,0.00082398679100056,0.000172257250053537,1.0864146662243e-05,0.266932237910985,0.0496912967198637,0.00593407599928707,0.000947799200034644,5.68110433082572e-05,9.89866737162461e-06,0.00207530236360744,0.024574198478447,0.149767515470433
"14",2020,1,1,0,0,3500,0.00154618613945058,0.106016478356798,0.057583188308063,0.00316329871360496,0,0.00502328184236553,0.0479262082259076,0.0453838703023149,0.173046514060243,0.0603109740512524,0,0.00361064406576118,0.0593732904161196,0.0546858046331268,0.207682762787482,0.0556429417158139,0.0915617995190122,0.0263468874021869,0.000619911637483135,0.000475957823014773
"15",2021,1,1,0,0,2888,0.0512479053818649,0.0780126748762509,0.142230404257781,0.104636092764441,0.0539242003324716,0.059760996049467,0.00899964443577303,0.000899869276768978,0.00028821262518233,0,0,0.00125056861978375,0.0522685206993807,0.0975073229527405,0.178358060065826,0.0984702733930586,0.0386381733289433,0.030727325658677,0.00240380281250528,0.00037595246908448
