"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",1977,1,1,0,0,102,0,0,0,0,0.013446567586695,0.0686482661004954,0.127388535031847,0.0658174097664544,0.029723991507431,0.138004246284501,0.145789101203114,0.152158527954706,0.128803963198868,0.0615711252653928,0.0424628450106157,0.0184005661712668,0.0056617126680821,0.000707714083510262,0.000707714083510262,0.000707714083510262,0,0,0,0
"2",1978,1,1,0,0,152,0,0,8.55285665412248e-05,8.55285665412248e-05,8.55285665412248e-05,0.000427642832706124,0.00265138556277797,0.0202702702702703,0.0879233664043791,0.175076975709887,0.26676359904208,0.219808416010948,0.103404036948341,0.0616660964762231,0.034639069449196,0.0160793705097503,0.0079541566883339,0.00196715703044817,0.0010263427984947,8.55285665412248e-05,0,0,0,0
"3",1979,1,1,0,0,192,0,0,0,0.000115466774435656,0.000577333872178281,0.00588880549621846,0.0520755152704809,0.100860227469546,0.0749379366087408,0.0950868887477628,0.160614283239998,0.209514462213498,0.166907222446741,0.0814618093643554,0.0315224294209341,0.0122972114773974,0.00484960452629756,0.00230933548871312,0.000519600484960453,0.000404133710524797,5.77333872178281e-05,0,0,0
"4",1980,1,1,0,0,213,0,0,0,0,0.000466756560522767,0.0156622756975417,0.0681983196763821,0.169640078829997,0.190125505652941,0.150088165128099,0.123223731978011,0.0914324240224043,0.0617155896691215,0.0609376620682502,0.040763406285655,0.0166995124987035,0.00653459184731874,0.0031635722435432,0.000933513121045535,0.000311171040348512,5.18618400580853e-05,5.18618400580853e-05,0,0
"5",1981,1,1,0,0,220,0,0,0.00012254401372493,0.000612720068624648,0.0019198562150239,0.0194844981822638,0.0659695273885871,0.0615987908990646,0.133164494914423,0.191291205424615,0.190392549323966,0.14701196846534,0.0985253870348433,0.0526939259017197,0.0205873943057882,0.00964012907969446,0.00514684857644704,0.00118459213267432,0.000531024059474695,8.1696009149953e-05,0,4.08480045749765e-05,0,0
"6",1982,1,1,0,0,198,0,0,0,7.52275633792221e-05,0.000225682690137666,0.00240728202813511,0.0164748363800497,0.0200105318588731,0.0526592943654555,0.0865116978861055,0.119987963589859,0.168058376589182,0.198375084631009,0.17114270668773,0.0949371849845783,0.0403972015346423,0.0151959678026029,0.00880162491536899,0.00353569547882344,0.000752275633792221,0.000376137816896111,7.52275633792221e-05,0,0
"7",1983,1,1,0,0,755,0,0,0,8.95880740355844e-05,0.000680869362670441,0.00222178423608249,0.00335059396893086,0.0148178674454857,0.0411388435971404,0.0646288366092706,0.121015570407267,0.160559746286574,0.183422622780455,0.167010087617136,0.121391840318217,0.0698607801329487,0.0316783429789826,0.0119868843059612,0.00415688663525112,0.00155883248821917,0.000322517066528104,0.000107505688842701,0,0
"8",1984,1,1,0,0,1275,0,1.35953612627372e-05,0.000149548973890109,0.00318131453548049,0.0123853741103535,0.0219361153974264,0.0182993562596442,0.0200667532238,0.030854672385782,0.0411871469454622,0.0845223609704369,0.142676518771795,0.178058446458069,0.171641435942057,0.130739791583112,0.0820751959431442,0.0415066379351365,0.0151180417241637,0.00424175271397399,0.00110122426228171,0.00019033505767832,4.758376441958e-05,6.79768063136858e-06,0
"9",1985,1,1,0,0,1709,0,0,9.85051838352993e-06,1.97010367670599e-05,1.47757775752949e-05,0.000581180584628266,0.00339350358312606,0.0195335779545399,0.0490014036988697,0.0926342748787155,0.0873593222843352,0.0850838525377398,0.150205629571256,0.194769374738346,0.151382766518088,0.0896150909941636,0.0467210086930825,0.0205826581623858,0.00694954071958037,0.00172384071711774,0.000329992365848253,7.38788878764745e-05,1.47757775752949e-05,0
"10",1986,1,1,0,0,592,0,1.95478215633732e-05,9.30460748920502e-05,0.000308188593820637,0.014571357052915,0.0267829605221833,0.0564452918818122,0.0679994478291454,0.113066167794144,0.143705145338983,0.167847302610008,0.103533964162307,0.0786783004508223,0.068107338927935,0.0572002124898417,0.0443624863732453,0.0302769340887195,0.0180857321090761,0.00507566745042412,0.00188117847416506,0.00141304592040121,4.58742489081336e-05,0.000494823387000893,5.98639768675762e-06
