"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",1977,1,1,0,0,95,0,0,0,0,0.00417246175243394,0.0285118219749652,0.0653685674547983,0.0299026425591099,0.0163421418636996,0.0611961057023644,0.0695410292072323,0.0757997218358832,0.0719749652294854,0.0337273991655077,0.0253824756606398,0.0111265646731572,0.00486787204450626,0.000695410292072323,0.000695410292072323,0.000695410292072323,0,0,0,0,0,0,0,0,0.00936599423631124,0.0403458213256484,0.0619596541786744,0.0360230547550432,0.013328530259366,0.0770893371757925,0.0763688760806916,0.0763688760806916,0.0565561959654179,0.0277377521613833,0.0169308357348703,0.00720461095100864,0.000720461095100865,0,0,0,0,0,0,0
"2",1978,1,1,0,0,149,0,0,4.10576449334866e-05,4.10576449334866e-05,4.10576449334866e-05,0.00012317293480046,0.00102644112333717,0.00895056659550008,0.0400722614550829,0.081335194613237,0.128921005091148,0.113565445886024,0.0533749384135326,0.0313680407291838,0.0206930530464773,0.0112497947117753,0.00640499260962391,0.00172442108720644,0.000985383478403679,8.21152898669732e-05,0,0,0,0,0,0,4.46189541317151e-05,4.46189541317151e-05,4.46189541317151e-05,0.000312332678922006,0.00165090130287346,0.0114224522577191,0.0481884704622524,0.0942798500803141,0.138229519900054,0.105925397108692,0.0498839907192575,0.0302516509013029,0.0136533999643048,0.00455113332143495,0.00133856862395145,0.000178475816526861,0,0,0,0,0,0
"3",1979,1,1,0,0,187,0,0,0,5.48847420417124e-05,0.000274423710208562,0.0021953896816685,0.0214050493962678,0.0455817782656422,0.0334522502744237,0.0406147091108672,0.0728594950603732,0.105872667398463,0.0942371020856202,0.0487376509330406,0.0197310647639956,0.008397365532382,0.00367727771679473,0.00197585071350165,0.000493962678375412,0.000384193194291987,5.48847420417124e-05,0,0,0,0,0,0,6.08939227865059e-05,0.00030446961393253,0.00377542321276337,0.031177688466691,0.0558092802338327,0.0419254658385093,0.0552307879673609,0.0885702106929728,0.10351966873706,0.0714894653513579,0.0318475216173426,0.0113567165996834,0.00365363536719036,0.0010351966873706,0.000243575691146024,0,0,0,0,0,0
"4",1980,1,1,0,0,210,0,0,0,0,0.000374632057800375,0.00711800909820712,0.0300776023548301,0.0742306663098742,0.0892694674872893,0.0706984211934707,0.0657211667112657,0.0519400588707519,0.0324859512978325,0.0341450361252341,0.0254749799304255,0.011024886272411,0.00401391490500401,0.00214075461600214,0.000856301846400856,0.000321113192400321,5.35188654000535e-05,5.35188654000535e-05,0,0,0,0,0,0,0.000100608682529302,0.00850143367372604,0.0378791689722823,0.0947733789426028,0.100508073846773,0.0791287288092963,0.0577493837718195,0.039866190452236,0.0293274309572916,0.0270134312591177,0.0155943457920419,0.00583530358669953,0.00256552140449721,0.00105639116655767,0.000100608682529302,0,0,0,0,0
"5",1981,1,1,0,0,220,0,0,8.25763831544178e-05,0.000247729149463254,0.000701899256812552,0.00928984310487201,0.0333608587943848,0.0260115606936416,0.0582576383154418,0.0844343517753922,0.091494632535095,0.0792320396366639,0.0583402146985962,0.0336085879438481,0.0137902559867878,0.00639966969446738,0.00355078447563997,0.000867052023121387,0.000247729149463254,4.12881915772089e-05,0,4.12881915772089e-05,0,0,0,0,4.04171045186323e-05,0.000363753940667691,0.00121251313555897,0.0101851103386953,0.0326166033465363,0.0354862177673591,0.0747312262549511,0.106620321720152,0.0988198205480559,0.0679007355913022,0.0403766874141137,0.019238541750869,0.00687090776816749,0.00327378546600922,0.00161668418074529,0.000323336836149058,0.000282919731630426,4.04171045186323e-05,0,0,0,0
"6",1982,1,1,0,0,196,0,0,0,0,0.000179713895478398,0.000575084465530875,0.0065415857954137,0.0084824958665804,0.0229314930630436,0.0369491769103587,0.0536266264107541,0.0768456617065632,0.097620588023866,0.0951764790453598,0.056214506505643,0.0261663431816548,0.00833872475019769,0.00682912802817914,0.00244410897850622,0.000646970023722234,0.000359427790956797,7.18855581913594e-05,0,0,0,0,0,7.88954635108481e-05,3.94477317554241e-05,0.00189349112426036,0.0100986193293886,0.0116765285996055,0.0300591715976331,0.0501775147928994,0.0669822485207101,0.0919132149901381,0.100907297830375,0.0750295857988166,0.0378698224852071,0.0136489151873767,0.00678500986193294,0.00173570019723866,0.00102564102564103,7.88954635108481e-05,0,0,0,0
"7",1983,1,1,0,0,753,0,0,0,3.35649313597154e-05,0.000251736985197865,0.00107407780351089,0.00156076930822676,0.00644446682106535,0.0188299264928003,0.0283120196019199,0.0520927734702783,0.0701926627060048,0.0865303930453462,0.0860688752391501,0.0698654046252475,0.0441714496693854,0.0214899473030578,0.00832410297720941,0.00314671231497332,0.00124190246030947,0.000268519450877723,0.000100694794079146,0,0,0,0,0,5.76523944961181e-05,0.000442001691136905,0.00115304788992236,0.0018064416942117,0.00851333692059343,0.0225613037128142,0.0368975324775156,0.0701437466369437,0.0918306556999001,0.097643938811592,0.080569221308325,0.0501960181412868,0.0243485279421939,0.00936851410561919,0.00332462141594281,0.000855177185025751,0.000249827042816512,3.84349296640787e-05,0,0,0
"8",1984,1,1,0,0,1239,0,6.5621103746965e-06,3.28105518734825e-05,0.00153553382767898,0.00579434346085701,0.0104239123302054,0.00857011614935363,0.00968567491305204,0.0142233742371547,0.0185904586915152,0.0377911936478772,0.0629601679900256,0.0799363475293654,0.0852024411050594,0.0717763632784303,0.0496850187020146,0.0282039503904456,0.0111555876369841,0.00334011418072052,0.000892447010958724,0.000147647483430671,3.9372662248179e-05,6.5621103746965e-06,0,0,7.05079391939532e-06,0.000119863496629721,0.00164988577713851,0.00662069549031221,0.0115527258369292,0.00977240037228192,0.0104069718250275,0.016720957779846,0.0227458611839693,0.0470640494119638,0.08034027131455,0.098799249795527,0.086485038215303,0.0584863355613842,0.0317461996220774,0.0127478354062667,0.00369461601376315,0.000810841300730462,0.000183320641904278,3.87793665566743e-05,7.05079391939532e-06,0,0
"9",1985,1,1,0,0,1649,0,0,4.78681901515986e-06,0,9.57363803031971e-06,0.000224980493712513,0.00154614254189663,0.00898007247243989,0.0230030587773507,0.0421742689330659,0.0409512366746926,0.037461645612641,0.065174934300909,0.0925004906489491,0.0809379293178304,0.0535262102275175,0.0310760290464178,0.0150521523931702,0.00558621779069155,0.00144083252356312,0.000277635502879272,5.74418281819183e-05,1.43604570454796e-05,0,0,0,5.0719455475926e-06,2.02877821903704e-05,5.0719455475926e-06,0.000360108133879075,0.00185633207041889,0.0106003661944685,0.0260875519240425,0.050706775612057,0.0465706040179953,0.0479248134792025,0.0856220487616845,0.10255981091787,0.0701323270593367,0.0355695541252669,0.0151854049694922,0.00524692766898455,0.00123755471361259,0.000248525331832037,4.56475099283334e-05,1.52158366427778e-05,0,0
"10",1986,1,1,0,0,587,0,5.45686456734148e-06,4.9328318510049e-05,0.000135323109004742,0.00465248680904425,0.0116883364629064,0.0234616252595707,0.0396554547528287,0.0472077509777926,0.0780296389060822,0.0890632071490842,0.0532736979742444,0.0317960613962544,0.0269756446386779,0.026185889219765,0.0255814217808938,0.016757894380817,0.0183400408772971,0.00391099867594551,0.00192451619532371,0.000689438590499891,3.96684877803326e-05,0.000572797190497235,3.32198261275239e-06,0,1.41848693697492e-05,4.7282897899164e-05,0.000182177801872042,0.0102534299030679,0.0142173869137018,0.0294477886251794,0.0289368069651987,0.0624750778147294,0.0681163206380462,0.0846959219763131,0.0485925055852634,0.0446562199074214,0.0384042881087939,0.0316088623250112,0.0179059025229064,0.0154526344911824,0.00296851073177072,0.00126428008263537,7.1430884137597e-05,0.000681437869570981,4.67063874064368e-06,0,2.87844718818253e-06
"11",1987,1,1,0,0,1234,0,0,0.000118247998715355,7.48204650581551e-05,0.00088552968977619,0.00367033641201267,0.00480748350918263,0.0152972479078926,0.0420965959160646,0.0377130544525099,0.0456041472796443,0.0544245807048948,0.0617527636417796,0.0648177710817465,0.0576886607397129,0.0439645343309279,0.0282531168603637,0.0243933148661075,0.010208635798777,0.00312279196729542,0.000863779800167159,0.000192118263791713,5.04683135794492e-05,0,0,0,0.000112626943031023,0.000811210770702795,0.000658404146781936,0.00633634201282353,0.0246794039914207,0.0244543589957109,0.0341971816799876,0.0309206695637455,0.0515204809371423,0.0727241846401243,0.0737955395742956,0.0644333040972563,0.0565863955775797,0.0336514329507535,0.0154057419573491,0.00681153727705549,0.00238502835942675,0.000411381464115702,7.10183604949198e-05,3.37567002023637e-05,0,0
"12",1988,1,1,0,0,1219,5.27499041477932e-05,0,1.56466295720051e-05,0.000196287464827363,0.000425035167229378,0.00592256894933457,0.014334221010238,0.0265040875409041,0.0490468617584616,0.0470643071269165,0.0426139576252658,0.0416971677799961,0.0463595336044172,0.0637996223963492,0.0662401537827892,0.0435997983111013,0.0241433738785605,0.0151582014294835,0.00816803024300435,0.00354630601610043,0.000908605499716524,0.000197175677413023,6.30820417139371e-06,0,1.577913177683e-05,0,0,1.8372230127106e-05,0.000743544028212327,0.00640199097691635,0.0147291845319235,0.0260215575456335,0.0497569655744086,0.0490094579174702,0.0513347616706433,0.0522808155898781,0.0637590344704747,0.0708725268712385,0.0533360142561965,0.0338757600720031,0.0164942590852809,0.00759914615512865,0.00259185095475812,0.000830469928610041,0.000266783471705307,6.17255376144003e-05,0,0
